movieId,title,joined_features
1,Toy Story (1995),tomhanks timallen donrickles johnlasseter toy rivalry cowboy cgi animation adventure animation children comedy fantasy 
2,Jumanji (1995),robinwilliams jonathanhyde kirstendunst jonathanhensleigh board game adventurer fight game adventure children fantasy 
3,Grumpier Old Men (1995),waltermatthau jacklemmon sophialoren markstevenjohnson boat lake neighbor rivalry comedy romance 
4,Waiting to Exhale (1995),whitneyhouston angelabassett lorettadevine terrymcmillan black american husband wife relationship betrayal mother son relationship comedy drama romance 
5,Father of the Bride Part II (1995),stevemartin dianekeaton martinshort alberthackett fatherhood doberman dog mansion comedy 
6,Heat (1995),alpacino robertdeniro valkilmer michaelmann gun battle organized crime honor criminal investigation action crime thriller 
7,Sabrina (1995),harrisonford juliaormond gregkinnear samuela.taylor character name as title chauffeur estate playboy comedy romance 
8,Tom and Huck (1995),jonathantaylorthomas bradrenfro ericschweig marktwain rescue from drowning near drowning character names as title forenames as title adventure children 
9,Sudden Death (1995),jean-claudevandamme powersboothe raymondj.barry karenelisebaldwin hockey death in title two word title terrorist action 
10,GoldenEye (1995),piercebrosnan seanbean izabellascorupco ianfleming official james bond series james bond character 007 chemical weapons action adventure thriller 
11,"American President, The (1995)",michaeldouglas annettebening martinsheen aaronsorkin reference to franklin d. roosevelt reference to martin van buren president speechwriter comedy drama romance 
12,Dracula: Dead and Loving It (1995),leslienielsen petermacnicol stevenweber melbrooks dracula vampire 19th century insane asylum comedy horror 
13,Balto (1995),kevinbacon bobhoskins bridgetfonda cliffruby dog nome alaska alaska children adventure animation children 
14,Nixon (1995),anthonyhopkins joanallen powersboothe oliverstone american president american politics paranoia u.s. president drama 
15,Cutthroat Island (1995),geenadavis matthewmodine franklangella michaelfrostbeckner treasure pirate treasure map pirate ship action adventure romance 
16,Casino (1995),robertdeniro sharonstone joepesci nicholaspileggi crime epic casino gambling gangster crime drama 
17,Sense and Sensibility (1995),jamesfleet tomwilkinson harrietwalter janeausten england 19th century based on novel black hair drama romance 
18,Four Rooms (1995),sammidavis amandadecadenet valeriagolino alexandrerockwell woman gagged woman tied to a chair weapon comedy 
19,Ace Ventura: When Nature Calls (1995),jimcarrey ianmcneice simoncallow jackbernstein male objectification kidnapping caught masturbating fictional country comedy 
20,Money Train (1995),wesleysnipes woodyharrelson jenniferlopez dougrichardson train subway loan shark new year's eve action comedy crime drama thriller 
21,Get Shorty (1995),johntravolta genehackman renerusso elmoreleonard movie business loan shark debt mobster comedy crime thriller 
22,Copycat (1995),sigourneyweaver hollyhunter dermotmulroney annbiderman serial killer psychopath dead body in a bathtub detective crime drama horror mystery thriller 
23,Assassins (1995),sylvesterstallone antoniobanderas juliannemoore lillywachowski assassin rival assassination computer hacker action crime thriller 
24,Powder (1995),marysteenburgen seanpatrickflanery lancehenriksen victorsalva albino electricity loneliness bully drama sci-fi 
25,Leaving Las Vegas (1995),nicolascage elisabethshue juliansands johno'brien prostitute alcoholism alcoholic falling in love with a prostitute drama romance 
26,Othello (1995),laurencefishburne irènejacob kennethbranagh oliverparker italy black man white woman marriage black man white woman sex black man white woman kiss drama 
27,Now and Then (1995),christinaricci rosieo'donnell thorabirch i.marleneking 1970s year 1991 1990s year 1970 children drama 
28,Persuasion (1995),amandaroot ciaránhinds susanfleetwood rogermichell captain accident napoleonic wars marriage drama romance 
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",ronperlman danielemilfork judithvittet jean-pierrejeunet psychotronic film underwater scene children dream adventure drama fantasy mystery sci-fi 
